"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Вход: кнопка в форме регистрации","0","0","2","0","0"
"","","Регистрация: ошибка при некорректном пароле (< 6 символов)","0","0","2","0","0"
"","","Конструктор: вкладка «Булки» становится активной","0","0","2","0","0"
"","","Вход: кнопка «Войти в аккаунт» на главной","0","0","2","0","0"
"","","Конструктор: вкладка «Соусы» становится активной","0","0","2","0","0"
"","","Регистрация: успешная","0","0","2","0","0"
"","","Конструктор: вкладка «Начинки» становится активной","0","0","2","0","0"
"","","Вход: через «Личный кабинет»","0","0","2","0","0"
"","","Вход: кнопка в форме восстановления пароля","0","0","2","0","0"
